112	stairs	About 20 kids in traditional clothing and hats waiting on stairs .
546	a canteen kitchen	Four locals are sitting on a bench in a canteen kitchen , leaning on a red brick wall .
546	brick wall	Four locals are sitting on a bench in a canteen kitchen , leaning on a red brick wall .
55	the shade	Against-the-light photograph of a gate in the shade , with towers to its left and right .
55	its left and right	Against-the-light photograph of a gate in the shade , with towers to its left and right .
55	the foreground	there are dark trees in the foreground and a blue sky in the background .
55	the background	there are dark trees in the foreground and a blue sky in the background .
56	Asuncion	well exposed front view of the cathedral in Asuncion .
56	top	two towers with flags , three arched entry gates , large central ave with several pinnacles and a cross on top .
56	the right tower	there is a clock on the right tower .
56	the middle gate	streetlamps at the middle gate and at the corners .
56	the corners	streetlamps at the middle gate and at the corners .
56	towers	bells visible in both towers .
57	the foreground	a fountain and cobbled walkway in the foreground , a pink and white buidling with many arches in the background .
57	the background	a fountain and cobbled walkway in the foreground , a pink and white buidling with many arches in the background .
58	the foreground	a white building with lots of columns and arches , a neat lawn and neatly cut trees and bushes in the foreground .
58	the building	the flag of Paraguay is waving at the top of the building .
59	entrance	stairs are leading up to the entrance .
59	the big roof	one red huge column is supporting the big roof .
59	the foreground	rails in the foreground .
60	street	two lane street with large shops on the right and smaller shops on the left .
60	the sidewalk	people are walking on the sidewalk , some are crossing the street .
60	the street	people are walking on the sidewalk , some are crossing the street .
60	the street	cars are parked along the left side of the street as well .
61	an avenue	an avenue with seven yellow taxis lined up on the right side .
61	their taxis	some drivers are waiting for customers outside of their taxis .
61	them	green trees behind them .
62	a terrace	a swimming pool with sun chairs on a terrace in the foreground .
62	the foreground	a swimming pool with sun chairs on a terrace in the foreground .
62	the background	a flat landscape with green trees and houses in the background .
63	a green lawn	Several flagpoles with waving flags on a green lawn in the foreground .
63	the foreground	Several flagpoles with waving flags on a green lawn in the foreground .
63	it	a large grey and black building behind it .
63	a huge column	a huge column with a football on top on the left .
63	the background	a blue sky with white clouds in the background .
64	one tiny spot	water is flowing through one tiny spot .
64	the foreground	green reed in the foreground .
646	a stage	Rock singer wearing yellow pants and a red T-shirt on a stage .
646	the background	crowd is cheering in the background .
651	a buildilng	Group of tourists is standing in front of a buildilng .
651	the people	three locals are standing in the middle of all the people , one of them is holding a box .
651	the background	some rocks in the background .
651	the foreground	a gravel road in the foreground .
652	a white house	Two adults and four local boys are standing in front of a white house with two trellised windows .
656	rails	one worker is standing on rails , the other one is leaning against an unfinished brick wall .
656	brick wall	one worker is standing on rails , the other one is leaning against an unfinished brick wall .
66	the foreground	backwater is flowing off in the foreground .
661	a lawn	two men are standing on a lawn in front of a light brown house with blue corners .
661	light brown house	two men are standing on a lawn in front of a light brown house with blue corners .
662	a grey square	School kids on a grey square , some are dressed in dark blue , others in orange .
662	the line up	one person dressed in orange is standing opposite the line up , leading the group .
662	the background	two light blue houses behind them with a steep hill in the background .
662	them	two light blue houses behind them with a steep hill in the background .
663	table	a woman is sitting at table in the middle of a schoolyard .
663	a schoolyard	a woman is sitting at table in the middle of a schoolyard .
663	the table	there are many books on the table .
663	her	two people are sitting next to her , six others are standing about ten metres away from the table .
663	the table	two people are sitting next to her , six others are standing about ten metres away from the table .
664	the focus	four boys , one drinking from a cup , one wearing an army cap and waving , the one in the focus wearing a beanie , a jumper and smiling into the camera , and the fourth wearing a cap and carrying a wooden crate .
668	the foreground	four school kids are smiling into the camera in the foreground .
668	the background	more kids in the background , some are leaning on the school wall , others are running around .
668	the school wall	more kids in the background , some are leaning on the school wall , others are running around .
671	a kitchen	five women in a kitchen , two of them are preparing some food using four bowls , two are standing behind them ( and one next to them ) and are watching .
671	them	five women in a kitchen , two of them are preparing some food using four bowls , two are standing behind them ( and one next to them ) and are watching .
671	them	five women in a kitchen , two of them are preparing some food using four bowls , two are standing behind them ( and one next to them ) and are watching .
672	excited kids	Santa Claus in middle of excited kids .
672	the background	a woman with a present in the background .
674	a room	Three social workers and about ten local kids in a room with dark and light blue walls .
674	a desk	one kid is a bit left out , sitting alone on a desk and looking the other way .
678	a desk	A school kid is sitting at a desk , smiling into the camera and being offered a red apple .
678	the background	three other kids in the background .
679	a bus	Four tourists are sitting on a bus .
679	the front row	two women in the front row with their heads turned around .
679	the second row	another one in the second row looking out the window .
679	last row	and one man with sunglasses in the very last row , looking out the window too .
682	their desks	the school kids are sitting at their desks , singing a song and clapping their hands , with their teacher clapping as well .
682	them	six of the tourists are standing behind them and are watching them , one tourist is taking a photo .
683	a wooden bench	Three women are sitting on a wooden bench in front of an about one metre high , red brick wall .
683	red brick wall	Three women are sitting on a wooden bench in front of an about one metre high , red brick wall .
683	the wall	one man is standing behind the wall .
684	their desks	photo of a classroom with some kids sitting at their desks , others standing at their desks , waving into the camera , laughing .
684	their desks	photo of a classroom with some kids sitting at their desks , others standing at their desks , waving into the camera , laughing .
684	the foreground	two kids are eating their lunch in the foreground .
684	pictures	there is a wooden wall with pictures of two comic figures in the background .
684	the background	there is a wooden wall with pictures of two comic figures in the background .
685	a table	a large , black plastic bag with four packs of pasta , a folder , a leaflet , a small book and cacao powder on a table .
685	plastic bag	a large , black plastic bag with four packs of pasta , a folder , a leaflet , a small book and cacao powder on a table .
685	the background	there is a second , empty table in the background .
686	a table	six kids are sitting around a table and playing with toy cars .
686	the table	one kid is standing next to the table .
686	a woman	a woman is holding a black plastic bag on the left .
686	the background	three tourists in the background are talking to each other .
687	La Paz	panorama view of houses in La Paz .
687	the foreground	red roofed houses in the foreground , with a hill and rugged rocks in the background .
687	the background	red roofed houses in the foreground , with a hill and rugged rocks in the background .
689	them	photo of eleven school kids and three tourists behind them .
689	the background	a basketball court in the background , with one kid standing below the basket .
689	the basket	a basketball court in the background , with one kid standing below the basket .
689	background	a large mountain in the distant background .
690	a blue building	Lots of locals ( both kids and adults ) in front of a blue building .
690	the slide	one kid is about to slide down the slide , with one grown up waiting to catch it .
690	her left hand	another woman is carrying a basket in her left hand , with a kid holding her other hand .
690	the background	others are just sitting around or are standing in the background .
690	background	there are snow covered mountains in the distant background .
692	the foreground	there are two social workers in the foreground .
692	the room	at the back of the room there is another worker wearing a white tee-shirt and blue jeans , acutally painting .
692	the ground	there are many newspapers on the ground to protect the kindergarten floor .
693	the background	portrait of two dark-haired girls with a mountain in the background .
694	them	a street behind them , with some houses on a hill in the background .
694	a hill	a street behind them , with some houses on a hill in the background .
694	the background	a street behind them , with some houses on a hill in the background .
696	blackboard	Six tourists are standing in front of blackboard of a primary school .
696	a primary school	Six tourists are standing in front of blackboard of a primary school .
696	their desks	local kids are sitting at their desks , singing and clapping .
696	the wall	there are posters and pictures on the wall in the background .
696	the background	there are posters and pictures on the wall in the background .
698	a green wall	a little red wooden desk and two red and two blue chairs in front of a green wall full with children's paintings .
698	children's paintings	a little red wooden desk and two red and two blue chairs in front of a green wall full with children's paintings .
698	an improvised cupboard	an improvised cupboard with lots of drawers in a corner at the back of the room .
698	a corner	an improvised cupboard with lots of drawers in a corner at the back of the room .
698	the room	an improvised cupboard with lots of drawers in a corner at the back of the room .
700	a kindergarten	volunteer workers help with the construction in a kindergarten .
700	the wall	movable wooden walls are leaning on the wall in the background .
700	the background	movable wooden walls are leaning on the wall in the background .
702	a room	tourists are posing in a room , ten of them are standing , one is squatting .
702	a table	one kid is posing with them , five other kids are sitting at a table and eating out of three bowls .
702	the wall	there are posters and pictures at the wall behind the tourists .
702	the tourists	there are posters and pictures at the wall behind the tourists .
704	wooden desks	Pupils are sitting at their wooden desks in an open air classroom .
704	open air classroom	Pupils are sitting at their wooden desks in an open air classroom .
704	the background	red brick wall and windows in the background .
705	round tables	children are sitting at round tables , nearly all of them wearing a green hat ( except for two kids ) .
705	the wall	there are posters and maps on the wall in the background .
705	the background	there are posters and maps on the wall in the background .
708	the wall	there is a picture on the wall in the background , and also an old lady carrying a green balloon .
708	the background	there is a picture on the wall in the background , and also an old lady carrying a green balloon .
709	it	a destroyed house with the wreckage lying around in front it .
709	the background	three ordinary a bit elevated houses in the background .
712	round table	Six pupils are sitting around a round table on wooden chairs , each of them is holding a fruit ( tangerine ? ) and is wearing a hat ( except for one kid ) .
712	wooden chairs	Six pupils are sitting around a round table on wooden chairs , each of them is holding a fruit ( tangerine ? ) and is wearing a hat ( except for one kid ) .
712	the wall	pictures and comics on the wall behind them .
712	them	pictures and comics on the wall behind them .
712	the background	car tyres in the background on the right .
714	the slope	a teacher and around 50 pupils on the slope of a hill .
714	the hill	small bushes and two trees at the top of the hill .
714	the background	a lake in the background .
715	the back	School kids are posing for the camera in a football-like setup - nine are standing at the back , ten are squatting at the front .
715	the front	School kids are posing for the camera in a football-like setup - nine are standing at the back , ten are squatting at the front .
715	their hands	each of them are having a fruit in their hands , most of them are smiling , one is even waving at the camera .
715	the background	a blackboard in the background .
715	the front row	one kid in the centre of the front row is holding a teddy .
716	theirs desk	classroom with most of the pupil sitting at theirs desk and wearing green hats .
716	her desk	one girl is standing at her desk , another one is walking to her desk , three other boys are standing and looking at a picture of Minnie Mouse on the wall .
716	her desk	one girl is standing at her desk , another one is walking to her desk , three other boys are standing and looking at a picture of Minnie Mouse on the wall .
716	the wall	one girl is standing at her desk , another one is walking to her desk , three other boys are standing and looking at a picture of Minnie Mouse on the wall .
716	the background	shelves and posters in the background .
717	their desks	children are sitting at their desks , together with a tourist sitting in the last row .
717	the last row	children are sitting at their desks , together with a tourist sitting in the last row .
717	the wall	there are two posters on the wall at the back , and there is a bookshelf with a lot of boxes and folders on the left .
718	him	One boy holding a white box , most likely a present from the volunteer kneeing in front of him .
718	him	several kids are around him , looking at the box while the boy himself is looking somewhere else .
718	the foreground	one kid in the foreground is wearing a green hat .
718	the background	there are both round tables and wooden desks in the background .
719	her	school children around her , looking at the book too .
719	the background	in the background there is a table with school equipment on it .
719	it	in the background there is a table with school equipment on it .
719	the foreground	the kid in the foreground is holding a pencil .
723	the blackboard	tourists are standing in front of the blackboard in a classroom , all the kids are sitting at their desks .
723	a classroom	tourists are standing in front of the blackboard in a classroom , all the kids are sitting at their desks .
723	their desks	tourists are standing in front of the blackboard in a classroom , all the kids are sitting at their desks .
723	the blackboard	there is a clock above the blackboard , and also the letters Dios es amor between the clock and the blackboard , and higiene es salud on the side wall below the windows .
723	the clock	there is a clock above the blackboard , and also the letters Dios es amor between the clock and the blackboard , and higiene es salud on the side wall below the windows .
723	the blackboard	there is a clock above the blackboard , and also the letters Dios es amor between the clock and the blackboard , and higiene es salud on the side wall below the windows .
723	the side wall	there is a clock above the blackboard , and also the letters Dios es amor between the clock and the blackboard , and higiene es salud on the side wall below the windows .
723	the windows	there is a clock above the blackboard , and also the letters Dios es amor between the clock and the blackboard , and higiene es salud on the side wall below the windows .
725	his back	a boy wearing a green jacket and a red cap is carrying a little girl on his back .
726	their desks	Children are sitting at their desks and are singing a song with their teacher .
726	the classroom	there is a large window , a blackboard and a shelf at the back of the classroom .
726	it	there is a wall on the left with a map of Peru , a poster and Minnie Mouse on it .
728	the windows	Close-up photo of a building with a blue front , red doors , brown bricks below the windows and the wires that stick out from the roof .
728	the roof	Close-up photo of a building with a blue front , red doors , brown bricks below the windows and the wires that stick out from the roof .
728	the building	a few pupils are in front of the building .
731	a valley	View of a city in a valley .
731	the foreground	bushes , houses and roofs in the foreground .
731	the background	an overcast sky in the background .
732	the entrance	tourists are standing at the entrance of classroom .
736	the blackboard	tourists are standing in front of the blackboard in a classroom .
736	a classroom	tourists are standing in front of the blackboard in a classroom .
736	their desks	all the kids are sitting at their desks , some of them turned around to look at the camera .
736	the blackboard	there is a clock above the blackboard , and also the letters Dios es amor between the clock and the blackboard , and higiene es salud on the side wall below the windows .
736	the clock	there is a clock above the blackboard , and also the letters Dios es amor between the clock and the blackboard , and higiene es salud on the side wall below the windows .
736	the blackboard	there is a clock above the blackboard , and also the letters Dios es amor between the clock and the blackboard , and higiene es salud on the side wall below the windows .
736	the side wall	there is a clock above the blackboard , and also the letters Dios es amor between the clock and the blackboard , and higiene es salud on the side wall below the windows .
736	the windows	there is a clock above the blackboard , and also the letters Dios es amor between the clock and the blackboard , and higiene es salud on the side wall below the windows .
737	the bare brickwork	many wires are sticking out of the bare brickwork .
737	a ladder	one person is climbing up a ladder .
737	the house	many pallets are lying piled up in front of the house .
738	their desks	Excited kids are standing at their desks in a classroom .
738	a classroom	Excited kids are standing at their desks in a classroom .
738	the wall	there are pictures of trees on the wall at the back .
738	their desk	two girls have an open book on their desk .
739	each side	a house with a pink roof and a green and white tower with three levels , each of them having a window on each side .
739	the background	another house with a green and yellow and red roof in the background .
742	the classroom	tourists are standing in the classroom of a school in front of the blackboard .
742	the blackboard	tourists are standing in the classroom of a school in front of the blackboard .
742	the blackboard	there is a clock and the writing Dios es Amor above the blackboard .
754	a wet sidewalk	Tourists are standing on a wet sidewalk and are carrying bags of food .
754	them	a house with brick walls and two garage doors behind them .
768	a grey square	school kids are posing for a picture on a grey square .
768	the background	one tourist is holding one kid in the background .
768	the kids	some kids standing in front of the kids posing .
779	a classroom	a dark-skinned , dark-haired boy wearing a blue tee-shirt ( one sleeve green , the other one pink ) is standing in a classroom .
779	the background	a teacher and other kids in the background , and also a large window ( thus the picture is not very well exposed ) .
780	it	portrait of a dark-skinned , dark-haired girl wearing a light blue tee-shirt with three pictures of people and a USA flag in the shape of a heart on it .
783	the floor	a dark-skinned , dark-haired girl in a blue jumper and red pants is sitting on the floor .
786	the ground	a dark-skinned , dark-haired girl wearing a white tee-shirt with pink edges and blue pants is kneeing on the ground .
789	a school desk	a dark-skinned , dark-haired boy in a red tee-shirt with blue sleeves is standing next to a school desk .
790	a brown door	a dark-skinned , dark-haired boy wearing a blue pullover is standing in front of a brown door .
791	a red couch	a dark-haired , dark-skinned girl is sitting on a red couch , wearing a pink pullover with a little bear .
792	school desk	a dark-skinned , dark-haired boy sitting at his school desk wearing a light blue shirt below a dark blue pullover .
794	the wall	handprints on the wall behind her .
794	her	handprints on the wall behind her .
796	the arms	a dark-haired baby in the arms of a woman .
796	the wall	handprints on the wall in the background .
796	the background	handprints on the wall in the background .
797	red brick wall	a dark-skinned , dark-haired boy in a white shirt is standing in front of red brick wall .
799	a house	a dark-skinned , dark-haired girl , wearing a skirt and a dark vest , is standing in front of a house .
799	the background	there is a white bucket in the background .
800	a desk	a dark-skinned , dark-haired girl in a light brown jumper with orange edges is standing in front of a desk .
800	wall	pictures on a wooden wall in the background .
800	background	pictures on a wooden wall in the background .
802	the wall	handprints on the wall behind her .
802	her	handprints on the wall behind her .
803	his mouth	a dark-skinned , dark-haired boy in a white shirt and a green tee-shirt , putting his index finger of his left hand in his mouth .
803	their tables	other school kids are sitting on their tables in front of a blackboard in the background .
803	a blackboard	other school kids are sitting on their tables in front of a blackboard in the background .
803	the background	other school kids are sitting on their tables in front of a blackboard in the background .
804	a blue wall	a dark-skinned , dark-haired girl in a coloured shirt is standing in front of a blue wall .
806	a desk	a dark-skinned , dark-haired girl wearing a dark blue jumper and a light blue skirt is sitting at a desk in front of a building .
806	a building	a dark-skinned , dark-haired girl wearing a dark blue jumper and a light blue skirt is sitting at a desk in front of a building .
808	a brown door	a dark-skinned , dark-haired boy wearing a blue jumper with a yellow collar is standing in front of a brown door .
809	green bench	a dark-skinned , dark-haired girl in a pink pullover is sitting on green bench .
809	the wall	colourful handprints on the wall behind her .
809	her	colourful handprints on the wall behind her .
810	a green bench	a dark-skinned , dark-haired boy in a blue pullover is sitting on a green bench .
810	the wall	colourful handprints on the wall behind him .
810	him	colourful handprints on the wall behind him .
811	a desk	a dark-skinned , dark-haired girl is sitting at a desk and wearing a white pullover with an emblem .
812	a classroom	a dark-skinned , dark-haired girl in a grey T-Shirt is standing in a classroom .
812	the background	a wall made of red bricks in the background .
813	a wall	a dark-skinned , dark-haired boy in dark vest is standing in front of a wall made of rocks .
815	grey brick wall	a dark-skinned , dark-haired girl in a grey tee-shirt and red pants is standing in front of grey brick wall .
817	the background	boulders in the background .
818	background	boulders in background .
819	the near background	a wall made of boulders in the near background .
819	the front	USA jumper says Future USA at the front , with the Olympic rings below the letters , one sleeve shows the stars , the other one the stripes .
819	the letters	USA jumper says Future USA at the front , with the Olympic rings below the letters , one sleeve shows the stars , the other one the stripes .
821	a brick-wall	a dark-skinned , dark-haired boy wearing dark blue dungarees and a light blue and pink pullover is standing in front of a brick-wall .
822	a desk	a dark-skinned , dark-haired boy in a blue and white chequered shirt is sitting at a desk outside .
824	a blue wall	a dark-skinned , dark-haired boy wearing a colourful shirt and a sleeveless pullover is standing in front of a blue wall .
825	a room	a dark-skinned , dark-haired boy with a grey shirt is standing in a room in front of a wall made of red bricks .
825	a wall	a dark-skinned , dark-haired boy with a grey shirt is standing in a room in front of a wall made of red bricks .
826	desk	a dark-skinned , dark-haired girl wearing a red coat is sitting at a desk in front of a building .
826	building	a dark-skinned , dark-haired girl wearing a red coat is sitting at a desk in front of a building .
827	a classroom	a dark-skinned , dark-haired girl in a black blouse is standing in a classroom in front of a wooden wall .
827	a wooden wall	a dark-skinned , dark-haired girl in a black blouse is standing in a classroom in front of a wooden wall .
828	desk	a dark-skinned , dark-haired boy wearing a grey pullover is sitting at his desk in his classroom .
828	classroom	a dark-skinned , dark-haired boy wearing a grey pullover is sitting at his desk in his classroom .
828	the background	there are some of his classmates in the background .
829	her desk	a dark-skinned , dark-haired girl wearing a grey tee-shirt is standing next to her desk in a classroom .
829	a classroom	a dark-skinned , dark-haired girl wearing a grey tee-shirt is standing next to her desk in a classroom .
829	the wall	there are two more kids and comic figures on the wall in the background .
829	the background	there are two more kids and comic figures on the wall in the background .
831	her desk	a dark-skinned , dark-haired girl wearing a green vest is standing at her desk in a classroom in front of a wall made of red bricks .
831	a classroom	a dark-skinned , dark-haired girl wearing a green vest is standing at her desk in a classroom in front of a wall made of red bricks .
831	a wall	a dark-skinned , dark-haired girl wearing a green vest is standing at her desk in a classroom in front of a wall made of red bricks .
832	a desk	a dark-skinned , dark-haired girl wearing a pinkish greyish pullover is sitting at a desk in front of a building .
833	a desk	a dark-skinned , dark-haired boy in black pullover and blue pants is standing next to a desk .
833	the background	grey brick walls and blue sky in the background .
834	a desk	a dark-skinned , dark-haired girl in black vest is sitting at a desk outside the classroom .
834	the classroom	a dark-skinned , dark-haired girl in black vest is sitting at a desk outside the classroom .
834	back	grey brick walls at the back .
834	the sandy floor	a cardboard box is standing on the sandy floor on the left .
835	a blue wall	a dark-skinned , dark-haired girl in a grey tee-shirt is standing in front of a blue wall .
836	a blue wall	a dark-skinned , dark-haired boy in a black pullover is standing in front of a blue wall .
837	a red brick wall	a dark-skinned , dark-haired boy in a blue-and-white striped jumper with a sleeveless pullover is standing in front of a red brick wall and a blue wall .
837	a blue wall	a dark-skinned , dark-haired boy in a blue-and-white striped jumper with a sleeveless pullover is standing in front of a red brick wall and a blue wall .
838	classroom	a dark-skinned , dark-haired boy in grey tee-shirt is standing in classroom .
838	the background	a man in the background .
841	his desk	a dark-skinned , dark-haired boy in a white tee-shirt is sitting at his desk in a classroom .
841	a classroom	a dark-skinned , dark-haired boy in a white tee-shirt is sitting at his desk in a classroom .
841	the background	more kids in the background are looking at the camera too .
842	a desk	a dark-skinned , dark-haired boy in a dark blue tee-shirt is sitting at a desk in a classroom .
842	a classroom	a dark-skinned , dark-haired boy in a dark blue tee-shirt is sitting at a desk in a classroom .
842	the background	a girl is eating in the background , another one wearing an orange pullover is walking along the corridor between the desks .
842	the corridor	a girl is eating in the background , another one wearing an orange pullover is walking along the corridor between the desks .
842	the desks	a girl is eating in the background , another one wearing an orange pullover is walking along the corridor between the desks .
843	brick-wall	a dark-skinned , dark-haired girl in pink pullover ( with a surfing Bart Simpson on it ) is standing in front of a red brick-wall in a classroom .
843	classroom	a dark-skinned , dark-haired girl in pink pullover ( with a surfing Bart Simpson on it ) is standing in front of a red brick-wall in a classroom .
844	a classroom	a dark-skinned , dark-haired boy in a black pullover and light brown shirt in a classroom .
844	the background	two more boys in the background .
845	her desk	a dark-skinned , dark-haired girl in a white shirt and black pants with black suspenders is sitting at her desk in a classroom .
845	a classroom	a dark-skinned , dark-haired girl in a white shirt and black pants with black suspenders is sitting at her desk in a classroom .
845	the background	some kids in the background are sitting at their desks .
845	their desks	some kids in the background are sitting at their desks .
846	a desk	a dark-skinned , dark-haired girl in a white tee-shirt is sitting at a desk in a classroom .
846	a classroom	a dark-skinned , dark-haired girl in a white tee-shirt is sitting at a desk in a classroom .
846	the desk	some sheets of paper are lying on the desk in front of her .
846	her	some sheets of paper are lying on the desk in front of her .
847	classroom	a dark-skinned , dark-haired boy in a chequered shirt standing in a classroom .
847	their desk	kids sitting at their desk in the background .
847	the background	kids sitting at their desk in the background .
848	a classroom	a dark-skinned , dark-haired boy in a blue , white and orange striped jumper is standing in a classroom .
848	a desk	a girl is sitting at a desk behind him .
848	him	a girl is sitting at a desk behind him .
848	the wall	two comic figures on the wall in the background .
848	the background	two comic figures on the wall in the background .
849	a desk	a dark-skinned , dark-haired girl in a white vest and black pants is standing next to a desk .
849	a desk	the lower half of a bottle of Kola Real is standing on a desk next to her .
849	her	the lower half of a bottle of Kola Real is standing on a desk next to her .
849	the background	a red brick wall in the background .
850	a desk	a dark-skinned , dark-haired girl in white a shirt and black pants with black suspenders is standing between a desk and a red brick wall in a classroom .
850	a red brick wall	a dark-skinned , dark-haired girl in white a shirt and black pants with black suspenders is standing between a desk and a red brick wall in a classroom .
850	a classroom	a dark-skinned , dark-haired girl in white a shirt and black pants with black suspenders is standing between a desk and a red brick wall in a classroom .
851	a classroom	a dark-skinned , dark-haired boy wearing a white shirt underneath a black pullover is standing in a classroom .
851	pullover	a dark-skinned , dark-haired boy wearing a white shirt underneath a black pullover is standing in a classroom .
851	the background	other kids are working in the background .
852	her desk	a dark-skinned , dark-haired girl in a black pullover is sitting at her desk in the classroom .
852	the classroom	a dark-skinned , dark-haired girl in a black pullover is sitting at her desk in the classroom .
853	two desks	a dark-skinned , dark-haired boy in a very colourful pullover is standing in between two desks in a classroom .
853	a classroom	a dark-skinned , dark-haired boy in a very colourful pullover is standing in between two desks in a classroom .
853	the red brick wall	there is a poster on the red brick wall in the background .
853	the background	there is a poster on the red brick wall in the background .
854	its head	a dark-skinned , dark-haired boy is wearing a blue pullover with a white elephant having a yellow hat on its head at the front .
854	his desk	the boy is sitting at his desk in a classroom .
854	a classroom	the boy is sitting at his desk in a classroom .
854	him	two kids are sitting behind him .
854	the wall	writing bienvenidos on the wall .
855	a desk	a dark-skinned , dark-haired boy in a grey and blue jumper is standing next to a desk in a classroom .
855	a classroom	a dark-skinned , dark-haired boy in a grey and blue jumper is standing next to a desk in a classroom .
855	a red brick wall	a poster on a red brick wall behind him .
855	him	a poster on a red brick wall behind him .
855	the wall	a picture of a sunflower on the wall next to him .
855	him	a picture of a sunflower on the wall next to him .
856	it	a dark-skinned boy is wearing a black cap with an A on it , a grey and purple pullover and a black jacket which is red on the inside .
856	the background	grass , stones and some garbage in the background .
857	a classroom	a dark-skinned , dark-haired girl wearing a white shirt underneath a dark grey pullover is standing in a classroom .
857	a dark grey pullover	a dark-skinned , dark-haired girl wearing a white shirt underneath a dark grey pullover is standing in a classroom .
857	the background	there are other kids in the background too , either standing or sitting at their desk .
857	their desk	there are other kids in the background too , either standing or sitting at their desk .
858	a classroom	a dark-skinned , dark-haired girl wearing a white shirt underneath a dark grey pullover with a pink nametag is standing in a classroom .
858	a dark grey pullover	a dark-skinned , dark-haired girl wearing a white shirt underneath a dark grey pullover with a pink nametag is standing in a classroom .
858	the background	more kids in the background .
859	a classroom	a dark-skinned , dark-haired boy wearing a grey jacket is standing in a classroom .
859	her desk	a girl is sitting at her desk in the background .
859	the background	a girl is sitting at her desk in the background .
859	the wall	comic characters on the wall at the back .
859	the back	comic characters on the wall at the back .
861	a classroom	a dark-skinned , dark-haired girl in a blue sweater with a pink nametag is standing in a classroom .
862	his desk	a dark-skinned , dark-haired boy in a grey tee-shirt is standing at his desk in a classroom .
862	a classroom	a dark-skinned , dark-haired boy in a grey tee-shirt is standing at his desk in a classroom .
862	him	another kid in a grey jacket is standing right behind him .
863	her desk	a dark-skinned , dark-haired girl in a grey tee-shirt is sitting at her desk in a classroom .
863	a classroom	a dark-skinned , dark-haired girl in a grey tee-shirt is sitting at her desk in a classroom .
864	a classroom	a dark-skinned , dark-haired girl wearing a green and white pullover and carrying a backpack with pink straps is standing in a classroom .
864	the background	one more girl in the background .
865	her desk	a dark-skinned , dark-haired girl in a grey tee-shirt is standing at her desk in a classroom .
