behind it a bar with chairs and two people , and a bench with one person lying on it . 	 two people 	32	42	1	0
a white hostel with a large tree to its left and a gravel road in front of the wooden entrance . 	 a large tree 	20	32	1	0
a white hostel with a large tree to its left and a gravel road in front of the wooden entrance . 	 a large tree 	20	32	0	0
a white hostel with a large tree to its left and a gravel road in front of the wooden entrance . 	 a gravel road 	49	62	1	1
a white hostel with a large tree to its left and a gravel road in front of the wooden entrance . 	 a gravel road 	49	62	1	0
a white hostel with a large tree to its left and a gravel road in front of the wooden entrance . 	 a gravel road 	49	62	0	0
a white hostel with a large tree to its left and a gravel road in front of the wooden entrance . 	 a gravel road 	49	62	0	0
a white hostel with a large tree to its left and a gravel road in front of the wooden entrance . 	 a gravel road 	49	62	0	0
a white hostel with a large tree to its left and a gravel road in front of the wooden entrance . 	 a large tree 	20	32	0	0
a white hostel with a large tree to its left and a gravel road in front of the wooden entrance . 	 a gravel road 	49	62	0	0
a white hostel with a large tree to its left and a gravel road in front of the wooden entrance . 	 a gravel road 	49	62	0	0
a white hostel with a large tree to its left and a gravel road in front of the wooden entrance . 	 a white hostel 	0	14	0	0
photo of an inner courtyard under a transparent roof , with a lawn and a large flower pot in the centre . 	 a transparent roof 	34	52	1	0
photo of an inner courtyard under a transparent roof , with a lawn and a large flower pot in the centre . 	 a large flower pot 	71	89	1	0
photo of an inner courtyard under a transparent roof , with a lawn and a large flower pot in the centre . 	 a transparent roof 	34	52	1	0
photo of an inner courtyard under a transparent roof , with a lawn and a large flower pot in the centre . 	 a transparent roof 	34	52	0	0
photo of an inner courtyard under a transparent roof , with a lawn and a large flower pot in the centre . 	 a transparent roof 	34	52	1	0
photo of an inner courtyard under a transparent roof , with a lawn and a large flower pot in the centre . 	 a transparent roof 	34	52	1	0
photo of an inner courtyard under a transparent roof , with a lawn and a large flower pot in the centre . 	 a transparent roof 	34	52	1	0
photo of an inner courtyard under a transparent roof , with a lawn and a large flower pot in the centre . 	 a transparent roof 	34	52	1	0
photo of an inner courtyard under a transparent roof , with a lawn and a large flower pot in the centre . 	 a transparent roof 	34	52	1	0
interior view of a room containing a double bed with a blue and white chequered bedcover and a single bed with a brownish green bedcover , with a wooden night table and a bedside lamp in between . 	 a single bed 	93	105	1	1
interior view of a room containing a double bed with a blue and white chequered bedcover and a single bed with a brownish green bedcover , with a wooden night table and a bedside lamp in between . 	 a single bed 	93	105	1	1
light and dark brown tiles on the floor . 	 the floor 	30	39	0	0
interior view of a room containing a double bed with a blue and white chequered bedcover and a single bed with a brownish green bedcover , with a wooden night table and a bedside lamp in between . 	 a bedside lamp 	169	183	0	0
interior view of a room containing a double bed with a blue and white chequered bedcover and a single bed with a brownish green bedcover , with a wooden night table and a bedside lamp in between . 	 a room 	17	23	0	0
interior view of a room containing a double bed with a blue and white chequered bedcover and a single bed with a brownish green bedcover , with a wooden night table and a bedside lamp in between . 	 a room 	17	23	0	0
interior view of a room containing a double bed with a blue and white chequered bedcover and a single bed with a brownish green bedcover , with a wooden night table and a bedside lamp in between . 	 a room 	17	23	0	1
a green , three story building ( the upper two levels are fully visible ) with a cross on the flat roof and small windows with a white , wooden frame . 	 wooden frame 	137	149	0	0
a green , three story building ( the upper two levels are fully visible ) with a cross on the flat roof and small windows with a white , wooden frame . 	 wooden frame 	137	149	0	0
a green , three story building ( the upper two levels are fully visible ) with a cross on the flat roof and small windows with a white , wooden frame . 	 wooden frame 	137	149	0	0
a green , three story building ( the upper two levels are fully visible ) with a cross on the flat roof and small windows with a white , wooden frame . 	 wooden frame 	137	149	0	0
a green , three story building ( the upper two levels are fully visible ) with a cross on the flat roof and small windows with a white , wooden frame . 	 story building 	16	30	1	1
a green , three story building ( the upper two levels are fully visible ) with a cross on the flat roof and small windows with a white , wooden frame . 	 two levels 	43	53	0	0
a green , three story building ( the upper two levels are fully visible ) with a cross on the flat roof and small windows with a white , wooden frame . 	 two levels 	43	53	0	0
trees in the background . 	 the background 	9	23	0	0
trees in the background . 	 trees 	0	5	0	0
trees in the background . 	 trees 	0	5	0	0
trees in the background . 	 trees 	0	5	0	0
Aerial view of seven light brown houses with black roofs on a grassy slope , connected by paved pathways . 	 houses 	33	39	0	0
Aerial view of seven light brown houses with black roofs on a grassy slope , connected by paved pathways . 	 houses 	33	39	1	0
Aerial view of seven light brown houses with black roofs on a grassy slope , connected by paved pathways . 	 houses 	33	39	1	0
Aerial view of seven light brown houses with black roofs on a grassy slope , connected by paved pathways . 	 houses 	33	39	1	0
trees in the background . 	 trees 	0	5	0	0
there is a double bed , a night table and a bed lamp in the foreground . 	 a bed lamp 	42	52	0	0
there is a double bed , a night table and a bed lamp in the foreground . 	 a night table 	24	37	1	0
there is a double bed , a night table and a bed lamp in the foreground . 	 a bed lamp 	42	52	0	0
there is a double bed , a night table and a bed lamp in the foreground . 	 a night table 	24	37	0	0
there is a coffee table with a sofa and chairs around and pictures are hanging on the wall in the background . 	 chairs 	40	46	1	0
there is a coffee table with a sofa and chairs around and pictures are hanging on the wall in the background . 	 pictures 	58	66	0	0
there is a coffee table with a sofa and chairs around and pictures are hanging on the wall in the background . 	 pictures 	58	66	0	0
there is a coffee table with a sofa and chairs around and pictures are hanging on the wall in the background . 	 the wall 	82	90	1	0
there is a coffee table with a sofa and chairs around and pictures are hanging on the wall in the background . 	 the wall 	82	90	0	0
there is a picture above the bed on the wall . 	 the bed 	25	32	0	1
there is a picture above the bed on the wall . 	 the bed 	25	32	0	1
a room with white walls , two single beds , a glass door with a wooden frame and red curtains . 	 curtains 	85	93	0	0
a room with white walls , two single beds , a glass door with a wooden frame and red curtains . 	 a glass door 	44	56	1	0
there is a picture above the bed on the wall . 	 the wall 	36	44	0	1
there is a picture above the bed on the wall . 	 a picture 	9	18	0	0
a room with two single beds and a lamp above one bed . 	 bed 	23	26	0	1
a room with two single beds and a lamp above one bed . 	 bed 	23	26	0	1
a table with two chairs at the back ( next to a window ) . 	 two chairs 	13	23	1	0
a room with two single beds and a lamp above one bed . 	 a lamp 	32	38	0	0
a table with two chairs at the back ( next to a window ) . 	 two chairs 	13	23	1	0
half of the walls is covered by wood . 	 walls 	12	17	0	0
half of the walls is covered by wood . 	 wood 	32	36	0	0
there is a lamp on the wall above one bed , a light switch next to it , and a phone on the night table . 	 bed 	38	41	0	1
there is a lamp on the wall above one bed , a light switch next to it , and a phone on the night table . 	 bed 	38	41	0	1
there is a lamp on the wall above one bed , a light switch next to it , and a phone on the night table . 	 a phone 	76	83	0	0
there is a lamp on the wall above one bed , a light switch next to it , and a phone on the night table . 	 a lamp 	9	15	0	0
further , there is a window with closed curtains at the back of the room . 	 curtains 	40	48	0	0
further , there is a window with closed curtains at the back of the room . 	 curtains 	40	48	0	0
there is a lamp on the wall above one bed , a light switch next to it , and a phone on the night table . 	 the wall 	19	27	0	1
a photo of a room with white walls , two single beds with a night table in between and a picture on the wall above the beds . 	 beds 	48	52	0	0
a photo of a room with white walls , two single beds with a night table in between and a picture on the wall above the beds . 	 beds 	48	52	0	0
a photo of a room with white walls , two single beds with a night table in between and a picture on the wall above the beds . 	 beds 	48	52	0	0
a photo of a room with white walls , two single beds with a night table in between and a picture on the wall above the beds . 	 a picture 	87	96	0	0
a photo of a room with white walls , two single beds with a night table in between and a picture on the wall above the beds . 	 the wall 	100	108	0	0
a photo of a room with white walls , two single beds with a night table in between and a picture on the wall above the beds . 	 the wall 	100	108	1	1
a neat lawn in front of the house , and lots of trees , bushes and flowers around it . 	 bushes 	56	62	0	0
a neat lawn in front of the house , and lots of trees , bushes and flowers around it . 	 trees 	48	53	1	0
a neat lawn in front of the house , and lots of trees , bushes and flowers around it . 	 trees 	48	53	0	0
a neat lawn in front of the house , and lots of trees , bushes and flowers around it . 	 trees 	48	53	1	0
a forest in the background . 	 a forest 	0	8	0	0
a bungalow made of red bricks with a red roof . 	 bricks 	23	29	1	0
a neat lawn in front of the house , and lots of trees , bushes and flowers around it . 	 the house 	24	33	0	0
a forest in the background . 	 the background 	12	26	0	0
a forest in the background . 	 the background 	12	26	0	0
exterior view of a three story building . 	 story building 	25	39	1	1
entrance and arched windows on ground floor , a coop with a rail , a balcony with several arches and columns on the second floor , balcony with columns on the third floor . 	 a balcony 	67	76	0	0
entrance and arched windows on ground floor , a coop with a rail , a balcony with several arches and columns on the second floor , balcony with columns on the third floor . 	 a rail 	58	64	0	0
entrance and arched windows on ground floor , a coop with a rail , a balcony with several arches and columns on the second floor , balcony with columns on the third floor . 	 ground floor 	31	43	0	0
Exterior view of a four story building , with large windows and a balcony at each level . 	 a balcony 	64	73	0	0
Exterior view of a four story building , with large windows and a balcony at each level . 	 a balcony 	64	73	0	0
Exterior view of a four story building , with large windows and a balcony at each level . 	 a balcony 	64	73	0	0
Exterior view of a four story building , with large windows and a balcony at each level . 	 a balcony 	64	73	0	0
Exterior view of a four story building , with large windows and a balcony at each level . 	 a balcony 	64	73	0	0
Exterior view of a four story building , with large windows and a balcony at each level . 	 a balcony 	64	73	0	0
Exterior view of a four story building , with large windows and a balcony at each level . 	 a balcony 	64	73	0	0
Exterior view of a four story building , with large windows and a balcony at each level . 	 story building 	24	38	0	0
Exterior view of a four story building , with large windows and a balcony at each level . 	 a balcony 	64	73	0	0
Exterior view of a four story building , with large windows and a balcony at each level . 	 each level 	77	87	0	0
Exterior view of a four story building , with large windows and a balcony at each level . 	 each level 	77	87	1	1
Exterior view of a four story building , with large windows and a balcony at each level . 	 each level 	77	87	0	0
front view of a brown , three story building with arches on ground level , large windows on the second level and three little towers with a window each on the third level . 	 ground level 	60	72	0	0
front view of a brown , three story building with arches on ground level , large windows on the second level and three little towers with a window each on the third level . 	 ground level 	60	72	0	0
front view of a brown , three story building with arches on ground level , large windows on the second level and three little towers with a window each on the third level . 	 ground level 	60	72	0	0
front view of a brown , three story building with arches on ground level , large windows on the second level and three little towers with a window each on the third level . 	 ground level 	60	72	0	0
front view of a brown , three story building with arches on ground level , large windows on the second level and three little towers with a window each on the third level . 	 story building 	30	44	1	1
front view of a brown , three story building with arches on ground level , large windows on the second level and three little towers with a window each on the third level . 	 a window 	138	146	0	0
front view of a brown , three story building with arches on ground level , large windows on the second level and three little towers with a window each on the third level . 	 a window 	138	146	0	0
front view of a brown , three story building with arches on ground level , large windows on the second level and three little towers with a window each on the third level . 	 a window 	138	146	0	0
front view of a brown , three story building with arches on ground level , large windows on the second level and three little towers with a window each on the third level . 	 a window 	138	146	0	0
one person sitting on a bench in front of the house ( on the left ) . 	 the house 	42	51	0	1
one person sitting on a bench in front of the house ( on the left ) . 	 the house 	42	51	0	0
Front view of a light khaki house with two small windows , a huge painting on the left and an entrance on the right ( in the shade ) . 	 a huge painting 	59	74	1	0
one person sitting on a bench in front of the house ( on the left ) . 	 the house 	42	51	0	0
large mountains in the background . 	 mountains 	6	15	0	0
one person sitting on a bench in front of the house ( on the left ) . 	 person 	4	10	0	0
one person sitting on a bench in front of the house ( on the left ) . 	 person 	4	10	0	0
one person sitting on a bench in front of the house ( on the left ) . 	 person 	4	10	0	0
white hostal with three levels and two large palm trees in front of the house . 	 large palm 	39	49	1	0
white hostal with three levels and two large palm trees in front of the house . 	 large palm 	39	49	1	0
white hostal with three levels and two large palm trees in front of the house . 	 three levels 	18	30	1	0
white hostal with three levels and two large palm trees in front of the house . 	 three levels 	18	30	1	0
sunchairs and umbrellas on the balcony of the second floor . 	 the balcony 	27	38	0	0
white wall in front of the house with an iron gate . 	 white wall 	0	10	0	0
white wall in front of the house with an iron gate . 	 white wall 	0	10	1	0
white wall in front of the house with an iron gate . 	 an iron gate 	38	50	0	0
white wall in front of the house with an iron gate . 	 the house 	23	32	0	0
white wall in front of the house with an iron gate . 	 the house 	23	32	1	0
white hostal with three levels and two large palm trees in front of the house . 	 trees 	50	55	1	0
a man in a black jacket and brown pants shovelling snow from the entrance ( with a red shovel ) . 	 the entrance 	61	73	1	1
behind him a white door , a large window . 	 a white door 	11	23	1	0
behind him a white door , a large window . 	 a large window 	26	40	1	0
a man in a black jacket and brown pants shovelling snow from the entrance ( with a red shovel ) . 	 the entrance 	61	73	1	0
a man in a black jacket and brown pants shovelling snow from the entrance ( with a red shovel ) . 	 a man 	0	5	1	0
a man in a black jacket and brown pants shovelling snow from the entrance ( with a red shovel ) . 	 the entrance 	61	73	1	1
large windows and doors on the second floor too , with a wooden rail on the balcony . 	 the second floor 	27	43	0	0
large windows and doors on the second floor too , with a wooden rail on the balcony . 	 doors 	18	23	1	0
three large window ( with hammocks in front of each the windows ) and large wooden doors next to them on the first floor . 	 large window 	6	18	0	0
three large window ( with hammocks in front of each the windows ) and large wooden doors next to them on the first floor . 	 large window 	6	18	1	0
three large window ( with hammocks in front of each the windows ) and large wooden doors next to them on the first floor . 	 large window 	6	18	1	0
three large window ( with hammocks in front of each the windows ) and large wooden doors next to them on the first floor . 	 large window 	6	18	0	0
two story building with white walls . 	 story 	4	9	0	0
large windows and doors on the second floor too , with a wooden rail on the balcony . 	 the balcony 	72	83	0	0
large windows and doors on the second floor too , with a wooden rail on the balcony . 	 the balcony 	72	83	1	1
a room with white walls , two wooden single beds , one with a blue blanket , the other one with a green , light pink and light purple striped blanket . 	 beds 	44	48	0	0
a room with white walls , two wooden single beds , one with a blue blanket , the other one with a green , light pink and light purple striped blanket . 	 beds 	44	48	0	0
wooden door at the back , and a poster on the wall . 	 wooden door 	0	11	0	0
wooden door at the back , and a poster on the wall . 	 the wall 	42	50	0	0
wooden door at the back , and a poster on the wall . 	 the wall 	42	50	0	0
a room with white walls , two wooden single beds , one with a blue blanket , the other one with a green , light pink and light purple striped blanket . 	 beds 	44	48	0	0
wooden door at the back , and a poster on the wall . 	 the wall 	42	50	0	0
wooden door at the back , and a poster on the wall . 	 the wall 	42	50	1	0
picture and two lamps on the wall above the bed . 	 the bed 	40	47	1	1
picture and two lamps on the wall above the bed . 	 the wall 	25	33	0	1
phone on the right table , phone books ( yellow and white pages ) below the table . 	 phone 	0	5	0	0
picture and two lamps on the wall above the bed . 	 the bed 	40	47	0	0
picture and two lamps on the wall above the bed . 	 the bed 	40	47	0	0
picture and two lamps on the wall above the bed . 	 the bed 	40	47	0	0
picture and two lamps on the wall above the bed . 	 the bed 	40	47	0	0
a large wooden king-size bed with a white bedcover and a wooden night table with a phone on it . 	 a large wooden king-size bed 	0	28	1	1
almost closed curtains at the back . 	 curtains 	14	22	0	0
almost closed curtains at the back . 	 curtains 	14	22	0	0
almost closed curtains at the back . 	 curtains 	14	22	0	0
almost closed curtains at the back . 	 curtains 	14	22	0	0
Exterior shot of a large , brownish hotel . 	 brownish hotel 	27	41	1	0
Exterior shot of a large , brownish hotel . 	 brownish hotel 	27	41	0	0
Exterior shot of a large , brownish hotel . 	 brownish hotel 	27	41	1	0
Exterior shot of a large , brownish hotel . 	 brownish hotel 	27	41	0	0
a chair in front of the bed . 	 a chair 	0	7	0	0
a chair in front of the bed . 	 the bed 	20	27	0	1
curtains and a painting . 	 curtains 	0	8	0	0
night table with a lamp next to bed . 	 a lamp 	17	23	0	0
curtains and a painting . 	 curtains 	0	8	0	0
curtains and a painting . 	 curtains 	0	8	0	0
curtains and a painting . 	 a painting 	13	23	0	0
front is mainly made of glass . 	 glass 	24	29	0	0
Corner view of a large building . 	 a large building 	15	31	1	1
Corner view of a large building . 	 a large building 	15	31	0	0
front is mainly made of glass . 	 glass 	24	29	0	0
a room with a king-size bed with purple bedcover . 	 a king-size bed 	12	27	0	1
window and white curtains on the left . 	 curtains 	17	25	0	0
a room with a king-size bed with purple bedcover . 	 a room 	0	6	0	0
window and white curtains on the left . 	 curtains 	17	25	0	0
window and white curtains on the left . 	 curtains 	17	25	0	0
window and white curtains on the left . 	 window 	0	6	0	0
a room with a king-size bed with purple bedcover . 	 a king-size bed 	12	27	0	0
Front view of a grey , ten story building . 	 story building 	27	41	0	0
Front view of a grey , ten story building . 	 story building 	27	41	0	0
Front view of a grey , ten story building . 	 story building 	27	41	0	0
a room with white walls , a wooden bed with a light brown blanket , bedside lamps on both sides . 	 a wooden bed 	26	38	0	1
window with curtains in the background . 	 curtains 	12	20	0	0
window with curtains in the background . 	 curtains 	12	20	0	0
window with curtains in the background . 	 curtains 	12	20	0	1
a table with a flower pot in the foreground . 	 a table 	0	7	0	1
a table with a flower pot in the foreground . 	 a flower pot 	13	25	1	0
a room with white walls , a wooden bed with a light brown blanket , bedside lamps on both sides . 	 lamps 	76	81	0	1
a room with white walls , a wooden bed with a light brown blanket , bedside lamps on both sides . 	 lamps 	76	81	0	0
a room with white walls , a wooden bed with a light brown blanket , bedside lamps on both sides . 	 walls 	18	23	0	0
window with curtains in the background . 	 curtains 	12	20	0	0
window with curtains in the background . 	 the background 	24	38	0	0
narrow , multi-story building made of red bricks . 	 bricks 	42	48	0	0
narrow , multi-story building made of red bricks . 	 multi-story building 	9	29	1	1
narrow , multi-story building made of red bricks . 	 multi-story building 	9	29	0	0
green plants on the balconies . 	 plants 	6	12	0	0
green plants on the balconies . 	 plants 	6	12	0	0
narrow , multi-story building made of red bricks . 	 multi-story building 	9	29	0	0
narrow , multi-story building made of red bricks . 	 multi-story building 	9	29	0	0
green plants on the balconies . 	 balconies 	20	29	0	0
green plants on the balconies . 	 balconies 	20	29	0	0
a double-bed made of iron with a dark-yellow bedcover and two dark-yellow cushions . 	 a double-bed 	0	12	0	1
a night table with a bedside lamp on both sides . 	 a night table 	0	13	0	0
there is a window with curtains in the background . 	 curtains 	23	31	0	0
there is a window with curtains in the background . 	 curtains 	23	31	1	0
there is a window with curtains in the background . 	 curtains 	23	31	0	0
there is a window with curtains in the background . 	 curtains 	23	31	1	1
red carpet . 	 red carpet 	0	10	0	0
a night table with a bedside lamp on both sides . 	 a night table 	0	13	0	0
a room with yellow walls . 	 walls 	19	24	0	1
a night table with a bedside lamp on both sides . 	 a bedside lamp 	19	33	0	0
a room with yellow walls . 	 walls 	19	24	0	0
a grey and brown terraced house with a large , ornate entrance and two cars that are parked in front of it . 	 two cars 	67	75	1	0
a grey and brown terraced house with a large , ornate entrance and two cars that are parked in front of it . 	 two cars 	67	75	1	0
a grey and brown terraced house with a large , ornate entrance and two cars that are parked in front of it . 	 ornate entrance 	47	62	0	0
a grey and brown terraced house with a large , ornate entrance and two cars that are parked in front of it . 	 house 	26	31	0	0
a grey and brown terraced house with a large , ornate entrance and two cars that are parked in front of it . 	 ornate entrance 	47	62	0	0
a grey and brown terraced house with a large , ornate entrance and two cars that are parked in front of it . 	 house 	26	31	0	1
a grey and brown terraced house with a large , ornate entrance and two cars that are parked in front of it . 	 ornate entrance 	47	62	0	0
a grey and brown terraced house with a large , ornate entrance and two cars that are parked in front of it . 	 ornate entrance 	47	62	0	0
and in the background on the right there is a window with white curtains . 	 curtains 	64	72	0	0
there is a mirrow on the left , between the beds and on the left there is a of a night table . 	 beds 	44	48	1	0
there is a mirrow on the left , between the beds and on the left there is a of a night table . 	 beds 	44	48	0	0
two single beds with a white bedcover , a pillow and a lamp each . 	 a lamp 	53	59	0	0
two single beds with a white bedcover , a pillow and a lamp each . 	 a lamp 	53	59	0	0
and in the background on the right there is a window with white curtains . 	 curtains 	64	72	1	0
and in the background on the right there is a window with white curtains . 	 curtains 	64	72	0	0
a room with beige walls . 	 walls 	18	23	0	0
and in the background on the right there is a window with white curtains . 	 curtains 	64	72	1	0
a grey , multistorey building with arced windows and an entrance decorated with flowers . 	 multistorey building 	9	29	0	0
a grey , multistorey building with arced windows and an entrance decorated with flowers . 	 multistorey building 	9	29	0	0
a grey , multistorey building with arced windows and an entrance decorated with flowers . 	 multistorey building 	9	29	0	0
a grey , multistorey building with arced windows and an entrance decorated with flowers . 	 multistorey building 	9	29	0	0
a grey , multistorey building with arced windows and an entrance decorated with flowers . 	 multistorey building 	9	29	0	0
a grey , multistorey building with arced windows and an entrance decorated with flowers . 	 multistorey building 	9	29	0	0
a grey , multistorey building with arced windows and an entrance decorated with flowers . 	 multistorey building 	9	29	0	0
a grey , multistorey building with arced windows and an entrance decorated with flowers . 	 multistorey building 	9	29	0	0
a grey , multistorey building with arced windows and an entrance decorated with flowers . 	 flowers 	80	87	1	0
a grey , multistorey building with arced windows and an entrance decorated with flowers . 	 multistorey building 	9	29	1	1
a grey , multistorey building with arced windows and an entrance decorated with flowers . 	 multistorey building 	9	29	0	0
two bunk beds made of wood with multicoloured bedcover . 	 beds 	9	13	1	0
two bunk beds made of wood with multicoloured bedcover . 	 beds 	9	13	1	0
two bunk beds made of wood with multicoloured bedcover . 	 beds 	9	13	1	0
in the background on the right there is a window with blue curtains . 	 curtains 	59	67	1	0
in the background on the right there is a window with blue curtains . 	 curtains 	59	67	1	0
in the background on the right there is a window with blue curtains . 	 curtains 	59	67	0	0
in the background on the right there is a window with blue curtains . 	 curtains 	59	67	0	0
a house with blue tiles , iron bars in front of the entrance and a large window on the second floor . 	 the entrance 	48	60	0	0
a house with blue tiles , iron bars in front of the entrance and a large window on the second floor . 	 a house 	0	7	0	0
a house with blue tiles , iron bars in front of the entrance and a large window on the second floor . 	 a large window 	65	79	0	0
a house with blue tiles , iron bars in front of the entrance and a large window on the second floor . 	 the entrance 	48	60	0	0
a house with blue tiles , iron bars in front of the entrance and a large window on the second floor . 	 iron 	26	30	0	0
a house with blue tiles , iron bars in front of the entrance and a large window on the second floor . 	 a house 	0	7	0	0
a house with blue tiles , iron bars in front of the entrance and a large window on the second floor . 	 a house 	0	7	0	0
a man is sitting at a table on the balcony . 	 the balcony 	31	42	1	0
a man is sitting at a table on the balcony . 	 the balcony 	31	42	1	0
a man is sitting at a table on the balcony . 	 the balcony 	31	42	1	0
a man is sitting at a table on the balcony . 	 the balcony 	31	42	1	0
a man is sitting at a table on the balcony . 	 the balcony 	31	42	1	0
a man is sitting at a table on the balcony . 	 the balcony 	31	42	1	0
a man is sitting at a table on the balcony . 	 the balcony 	31	42	1	0
there is a double bed made of iron , light brown pillows , white bedcover and towels . 	 a double bed 	9	21	1	1
and a window with white curtains on the very right . 	 curtains 	24	32	0	0
a room with white and orange walls and a brown ornament . 	 walls 	29	34	0	1
a room with white and orange walls and a brown ornament . 	 walls 	29	34	0	0
a house made of grey bricks with wooden pillars and red rooftiles . 	 a house 	0	7	1	0
there are trees on the left and right side in both the fore- and the background . 	 trees 	10	15	0	0
there are trees on the left and right side in both the fore- and the background . 	 trees 	10	15	1	0
there are trees on the left and right side in both the fore- and the background . 	 trees 	10	15	1	0
a house made of grey bricks with wooden pillars and red rooftiles . 	 bricks 	21	27	1	0
there are trees on the left and right side in both the fore- and the background . 	 the background 	65	79	0	0
a room with walls made of wood and a double bed with a colourful-striped bedcover . 	 a double bed 	35	47	0	1
there is a night table with a bedside lamp on the right , and a window with multicoloured curtains on the very right . 	 curtains 	90	98	1	0
a room with walls made of wood and a double bed with a colourful-striped bedcover . 	 wood 	26	30	0	1
there is a night table with a bedside lamp on the right , and a window with multicoloured curtains on the very right . 	 curtains 	90	98	0	0
there is a night table with a bedside lamp on the right , and a window with multicoloured curtains on the very right . 	 a bedside lamp 	28	42	0	0
a wooden house with green window frames , a small balcony on the left and a green Unmittelbare Treffer corrugated sheet roof above it . 	 green window 	20	32	1	0
there are plants in front of the house and trees behind it . 	 the house 	29	38	0	0
a wooden house with green window frames , a small balcony on the left and a green Unmittelbare Treffer corrugated sheet roof above it . 	 the left 	61	69	0	0
a wooden house with green window frames , a small balcony on the left and a green Unmittelbare Treffer corrugated sheet roof above it . 	 the left 	61	69	0	0
there are plants in front of the house and trees behind it . 	 the house 	29	38	0	1
a wooden house with green window frames , a small balcony on the left and a green Unmittelbare Treffer corrugated sheet roof above it . 	 corrugated sheet roof 	103	124	0	0
a wooden house with green window frames , a small balcony on the left and a green Unmittelbare Treffer corrugated sheet roof above it . 	 the left 	61	69	0	0
a wooden house with green window frames , a small balcony on the left and a green Unmittelbare Treffer corrugated sheet roof above it . 	 the left 	61	69	0	0
a wooden house with green window frames , a small balcony on the left and a green Unmittelbare Treffer corrugated sheet roof above it . 	 the left 	61	69	0	0
there is a double bed with a red bedcover in the centre , with an orange mosquito net above it . 	 a double bed 	9	21	1	0
a room with walls made of wood and a large window with white curtains on the left . 	 curtains 	61	69	0	0
a room with walls made of wood and a large window with white curtains on the left . 	 curtains 	61	69	0	0
a room with walls made of wood and a large window with white curtains on the left . 	 wood 	26	30	0	0
a room with walls made of wood and a large window with white curtains on the left . 	 curtains 	61	69	0	0
a white house with a thatched roof and a garden with a lot of vegetation behind a grey wall . 	 wall 	87	91	0	0
a white house with a thatched roof and a garden with a lot of vegetation behind a grey wall . 	 wall 	87	91	0	0
a white house with a thatched roof and a garden with a lot of vegetation behind a grey wall . 	 wall 	87	91	0	0
a white house with a thatched roof and a garden with a lot of vegetation behind a grey wall . 	 wall 	87	91	0	0
a white house with a thatched roof and a garden with a lot of vegetation behind a grey wall . 	 vegetation 	62	72	0	0
a white house with a thatched roof and a garden with a lot of vegetation behind a grey wall . 	 wall 	87	91	0	0
a white house with a thatched roof and a garden with a lot of vegetation behind a grey wall . 	 vegetation 	62	72	0	0
in the corner on the right there is a bunk bed made of wood , another single bed made of wood on the left , and a night table in between . 	 a bunk bed 	36	46	0	0
in the corner on the right there is a bunk bed made of wood , another single bed made of wood on the left , and a night table in between . 	 a bunk bed 	36	46	1	0
